"LEEFTIJDCAT4P","GESLACHT","roker","zware_drinker","obesitas","bewegen_3cat","moeite_rondkomen_2cat","UITSPRAAKBUURT3_CAT","LFT0109","langdurig_ziek_numeriek","ethniciteit_numeriek","gehuwd_numeriek","gescheiden_numeriek","verweduwd_numeriek","nooit_gehuwd_numeriek","beperkt_degelijks_leven_numeriek","ernstig_beperkt_dagelijks_leven_numeriek","niet_beperkt_dagelijks_leven_numeriek","opleiding_hoog_numeriek","opleiding_laag_numeriek","opleiding_middel_numeriek","inkomen_kwint1_numeriek","inkomen_kwint2_numeriek","inkomen_kwint3_numeriek","inkomen_kwint4_numeriek","inkomen_kwint5_numeriek","niet_stedelijk_buurt_numeriek","stedelijk_buurt_numeriek","Freq","perc","MHI5_voorspeld","MHI5_voorspeld_absoluut"
"18-34","Man","Rookt niet","Ja","Ja","0 - 4.5 uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Ja",29.3333333333333,1,0.111111111111111,0.222222222222222,0,0,0.777777777777778,0.777777777777778,0.222222222222222,0,0.333333333333333,0.222222222222222,0.444444444444444,0,0,0.444444444444444,0.333333333333333,0.222222222222222,0.888888888888889,0.111111111111111,9,0.00011042673799416,-0.209003022008225,74.4161685063581
"18-34","Man","Rookt niet","Ja","Ja","0 - 4.5 uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Nee",31,0.75,0.25,0.5,0,0,0.5,1,0,0,0,0.25,0.75,0,0.25,0.25,0.25,0.25,0.75,0.25,4,4.90785502196265e-05,-0.346872773859705,72.2105284886737
"18-34","Man","Rookt niet","Ja","Ja","0 - 4.5 uur","Ja (enige of grote moeite)","Neutraal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18-34","Man","Rookt niet","Ja","Ja","0 - 4.5 uur","Ja (enige of grote moeite)","Ja",18,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1.22696375549066e-05,-1.53304537202804,53.234141607096
"18-34","Man","Rookt niet","Ja","Ja","0 - 4.5 uur","Ja (enige of grote moeite)","Nee",28,0.5,0,0,0,0,1,0,1,0,0.5,0,0.5,0,0,0,0,1,1,0,2,2.45392751098133e-05,-1.43626062424092,54.7825038109443
"18-34","Man","Rookt niet","Ja","Ja","10+ uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Neutraal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18-34","Man","Rookt niet","Ja","Ja","10+ uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Ja",26.5454545454545,0.909090909090909,0.272727272727273,0.272727272727273,0,0,0.727272727272727,1,0,0,0.454545454545455,0.272727272727273,0.272727272727273,0.0909090909090909,0,0.181818181818182,0.545454545454545,0.181818181818182,0.636363636363636,0.363636363636364,11,0.000134966013103973,-0.121934452098451,75.8090913157241
"18-34","Man","Rookt niet","Ja","Ja","10+ uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18-34","Man","Rookt niet","Ja","Ja","10+ uur","Ja (enige of grote moeite)","Neutraal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18-34","Man","Rookt niet","Ja","Ja","10+ uur","Ja (enige of grote moeite)","Ja",32.5,0,0,0,0.5,0,0.5,0,1,0,0,0.5,0.5,0.5,0,0,0.5,0,0.5,0.5,2,2.45392751098133e-05,-1.31471839751315,56.7269361139633
"18-34","Man","Rookt niet","Ja","Ja","10+ uur","Ja (enige of grote moeite)","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18-34","Man","Rookt niet","Ja","Ja","4.5 - 10 uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Neutraal",28.5,1,0,0.5,0,0,0.5,1,0,0,0.5,0,0.5,0,0,0,0,1,0,1,2,2.45392751098133e-05,-0.125138628460577,75.7578309086144
"18-34","Man","Rookt niet","Ja","Ja","4.5 - 10 uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Ja",28,0.8,0,0.4,0,0,0.6,1,0,0,0.2,0,0.8,0,0,0,0.4,0.6,0.8,0.2,5,6.13481877745331e-05,-0.00998566148815483,77.6000478466928
"18-34","Man","Rookt niet","Ja","Ja","4.5 - 10 uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18-34","Man","Rookt niet","Ja","Ja","4.5 - 10 uur","Ja (enige of grote moeite)","Neutraal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18-34","Man","Rookt niet","Ja","Ja","4.5 - 10 uur","Ja (enige of grote moeite)","Ja",33,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1.22696375549066e-05,-1.05540953847856,60.8753587283952
"18-34","Man","Rookt niet","Ja","Ja","4.5 - 10 uur","Ja (enige of grote moeite)","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18-34","Man","Roker","Nee (drinkt minder vaak of niet)","Nee","0 - 4.5 uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Neutraal",28.2142857142857,0.928571428571429,0,0.0714285714285714,0,0,0.928571428571429,0.928571428571429,0.0714285714285714,0,0.214285714285714,0.0714285714285714,0.714285714285714,0,0.0714285714285714,0.285714285714286,0.285714285714286,0.357142857142857,0.714285714285714,0.285714285714286,14,0.000171774925768693,-0.206263472860873,74.459995808204
"18-34","Man","Roker","Nee (drinkt minder vaak of niet)","Nee","0 - 4.5 uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Ja",27.375,0.894230769230769,0.0576923076923077,0.201923076923077,0,0,0.798076923076923,0.894230769230769,0.0769230769230769,0.0288461538461538,0.298076923076923,0.211538461538462,0.490384615384615,0.0480769230769231,0.0769230769230769,0.221153846153846,0.25,0.403846153846154,0.769230769230769,0.230769230769231,104,0.00127604230571029,-0.101258863697584,76.1398593381055
"18-34","Man","Roker","Nee (drinkt minder vaak of niet)","Nee","0 - 4.5 uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Nee",25.25,0.833333333333333,0.166666666666667,0.166666666666667,0,0,0.833333333333333,0.833333333333333,0.166666666666667,0,0.166666666666667,0.416666666666667,0.416666666666667,0,0.166666666666667,0.333333333333333,0.25,0.25,0.666666666666667,0.333333333333333,12,0.00014723565065888,-0.410108185518726,71.1988884979081
"18-34","Man","Roker","Nee (drinkt minder vaak of niet)","Nee","0 - 4.5 uur","Ja (enige of grote moeite)","Neutraal",28,0.555555555555556,0.222222222222222,0.222222222222222,0.111111111111111,0,0.666666666666667,0.555555555555556,0.333333333333333,0.111111111111111,0.222222222222222,0.444444444444444,0.333333333333333,0.333333333333333,0.222222222222222,0.222222222222222,0,0.222222222222222,0.444444444444444,0.555555555555556,9,0.00011042673799416,-1.19458876799294,58.6487696896472
"18-34","Man","Roker","Nee (drinkt minder vaak of niet)","Nee","0 - 4.5 uur","Ja (enige of grote moeite)","Ja",28.0789473684211,0.815789473684211,0.210526315789474,0.0789473684210526,0.0263157894736842,0,0.894736842105263,0.763157894736842,0.236842105263158,0,0.210526315789474,0.263157894736842,0.526315789473684,0.236842105263158,0.210526315789474,0.210526315789474,0.210526315789474,0.131578947368421,0.394736842105263,0.605263157894737,38,0.000466246227086452,-0.855477539314132,64.0738704559549
